particiant_id,favourite_genre,sleep_hr,TV_hr,height,weight,gender
61,thriller,9,0,185,54.7,male
62,comedy,6,3,160,57,female
63,action,6.5,3,180,61.7,male
64,comedy,6.5,0,168,65.6,male
65,comedy,7,0,180,45.3,male
66,action,6.8,2.2,176,61.6,female
67,action,5.6,0.7,174,59,female
68,thriller,6.2,1.8,159,39.5,male
69,thriller,7.1,1.4,151,61.8,female
70,thriller,2.2,1.4,170,57.2,female
71,thriller,6.7,0.5,188,57,female
72,prefer not to answer,7.8,1,167,68.9,female
73,thriller,3.2,2.8,179,60.5,female
74,comedy,2.8,2.4,151,66,male
75,comedy,5.1,1.9,135,65.8,male
76,comedy,7.5,1,172,53.6,female
77,comedy,7.3,0.7,159,63,female
78,action,6,3.1,159,54.4,male
79,thriller,5.5,1,173,62.2,male
80,action,7.9,1.3,156,73.9,female
81,comedy,5.6,2.6,168,76,female
82,thriller,1.9,NA,168,56.3,male
83,comedy,1.6,0.6,157,60.6,female
84,thriller,4.1,0.2,178,63.7,male
85,thriller,10,NA,187,48.9,male
86,thriller,6.7,0.1,174,59.5,male
87,thriller,5,0.7,169,55.6,female
88,thriller,8.9,1.3,179,54,male
89,comedy,6.1,1.6,166,72.6,female
90,comedy,7.6,1.4,174,77.3,female
91,thriller,4.7,3.1,161,91.1,female
92,thriller,2.4,1,155,59.4,female
93,comedy,5.3,1.1,130,63.2,female
94,comedy,5.3,NA,168,65.4,female
95,comedy,6.2,0.4,165,52.7,female
96,action,7.5,1.2,151,63.7,male
97,action,7.6,1.2,174,54.8,male
98,action,6.8,1.7,143,51.2,male
99,action,3.4,NA,171,66.4,male
100,comedy,8,1.6,153,79.2,male
101,action,6.5,0.9,172,79.2,female
102,comedy,5.4,0.2,166,65.1,male
103,comedy,4.9,NA,161,71.4,male
104,thriller,5.6,1.1,197,65,female
105,action,5.6,2.4,172,67.4,female
106,action,4.6,0.7,144,66,male
107,thriller,7.9,2,184,63.2,female
108,thriller,3.8,NA,186,72.2,male
109,action,10,2.5,141,44.8,male
110,action,8.2,1.4,166,70.7,male
111,comedy,5.2,1.5,176,52.3,female
112,action,4.7,1.6,163,52.1,female
113,thriller,2.4,0.2,157,58.8,female
114,thriller,7.7,2.7,150,47.4,male
115,thriller,4.7,1.4,167,63.7,male
116,comedy,7.7,2.7,NA,49.8,female
117,thriller,NA,1.3,178,64,male
118,comedy,3.4,2.2,162,69.3,female
119,thriller,6.1,0,163,59.6,male
120,comedy,8,0.1,169,68,female
121,action,7.5,1.1,172,72.3,female
122,thriller,7.8,0.8,154,53.5,male
123,action,4,2.2,184,64.5,male
124,action,4,NA,167,52.6,male
125,comedy,5.2,2.6,159,59.8,female
126,action,4.8,1.2,155,71.7,female
127,thriller,6.2,0.8,154,52.7,male
128,comedy,4.1,NA,176,NA,male
129,action,5.6,2.7,167,44.1,female
130,action,4.5,1.1,160,58.9,female
131,thriller,6.8,0.5,163,52.5,female
132,thriller,7.6,2,136,48.6,female
133,action,8.5,0.5,180,57,male
134,thriller,8.5,0,193,68.4,female
135,action,5.4,0.7,142,53.1,male
136,action,5.2,1,155,58.5,male
137,comedy,6.2,NA,166,60.6,male
138,action,3.5,0.1,179,48.1,female
139,thriller,3.8,NA,181,56.7,male
140,comedy,8.1,1,174,58.5,female
141,thriller,8.1,0.5,176,58.4,male
142,comedy,4.9,0,182,50.3,male
143,thriller,4.5,0.7,155,66.8,female
144,comedy,4.7,0.7,141,50.7,male
145,comedy,2.5,0,NA,NA,male
146,comedy,4.5,NA,147,60,male
147,thriller,8,2.2,165,69.7,male
148,action,3.9,0.4,187,69.5,female
149,comedy,4.6,1,157,68.6,male
150,comedy,6.6,1.1,191,57.1,female
151,action,9.1,0.4,158,NA,male
152,action,5.6,1.4,152,68.2,male
153,thriller,4.5,0.7,184,64.1,female
